19435,32800,0,0
-1.0,-1.0,22700,0
0,-1.0,25000,26800
0,0,-1.0,3500
21600,0,0,-1.0
12875,18300,0,0
-1.0,-1.0,24100,0
0,-1.0,-1.0,20200
0,0.0011,-1.0,-1.0
0.0,0,0,0.0
-1.0,20800,0,0
-1.0,7500,25500,0
0.0009,-1.0,-1.0,19600
0,0,-1.0,-1.0
-1.0,0,0,-1.0
-1.0,18400,0,0
-1.0,-1.0,21900,0
0,-1.0,17458.5,20200
0,0,-1.0,-1.0
19500,0,0,-1.0
-1.0,20800,0,0
-1.0,7759.5,26100,0
0,-1.0,4500,21300
0,0,-1.0,-1.0
18600,0,0,-1.0
-1.0,-1.0,0,0
-1.0,-1.0,19800,0
0,-1.0,-1.0,18600
0,0,-1.0,-1.0
-1.0,0,0,0.0
-1.0,20000,0,0
-1.0,-1.0,20100,0
0,-1.0,25250,29800
0,0,-1.0,22000
15000,0,0,-1.0
-1.0,19000,1,0.0017
-1.0,18750,-1.0,0
0,-1.0,-1.0,22300
0,0,-1.0,-1.0
0.0,0,0,0.0
21500,41100,0,0
-1.0,5500,31800,0
0,-1.0,9500,23500
0,0,-1.0,12533
14000,0,0,-1.0
14140.5,17800,0,0
-1.0,-1.0,97400,0
0,-1.0,-1.0,-1.0
0,0,-1.0,23871
19400,0,0,-1.0
6333,14300,0,0
-1.0,5958,21000,1
0.0018,-1.0,13690,20100
0,0,-1.0,13908
25500,0,0,-1.0
5500,15600,0,0
-1.0,4812.5,22600,1
0,-1.0,15491,16700
0,0,-1.0,15491
16700,0,0,-1.0
9363.5,20400,0,0
-1.0,10555,16400,0
0,-1.0,-1.0,22300
0,0.0183,-1.0,-1.0
0.0,0,0,0.0
-1.0,27800,0,0
34100,8167,15100,0
0,-1.0,9233.5,25100
0,0,-1.0,7800
17000,0,0,-1.0
-1.0,27900,1,0.001
38300,12000,21000,0
0,-1.0,-1.0,17300
0,0,-1.0,-1.0
19200,0,0,-1.0
13982,32900,0,0.0135
-1.0,-1.0,-1.0,0
0,-1.0,7500,-1.0
0,0,-1.0,-1.0
29900,1,0.0084,37900
-1.0,23900,0,0
-1.0,21500,25500,0
0,-1.0,8878,20700
0,0,-1.0,14556
17700,0,0,-1.0
7750,22600,1,0.0049
-1.0,16500,-1.0,0
0,-1.0,31333,15200
0,0,-1.0,13357.5
-1.0,0,0,-1.0
6333,-1.0,0,0
0.0,11094.5,15000,0
0,-1.0,5117,12100
0,0,-1.0,5750
23700,1,0.0009,-1.0
7204,12800,0,0
-1.0,12000,46400,0
0,-1.0,-1.0,20800
0,0,27300,19250
29500,0,0,-1.0
-1.0,19100,1,0
-1.0,12000,27900,0
0,-1.0,-1.0,18500
0,0,-1.0,3000
18300,0,0,-1.0
11002,-1.0,0,0
-1.0,10500,20200,0
0,-1.0,9900,21300
0,0,-1.0,21000
25800,0,0,-1.0
3000,-1.0,0,0
-1.0,14434,-1.0,0
0,-1.0,-1.0,-1.0
0,0,-1.0,9785.5
11500,0,0,-1.0
-1.0,-1.0,0,0
-1.0,9500,-1.0,0
0,-1.0,-1.0,19500
0,0,-1.0,5250
21300,1,0.0041,-1.0
-1.0,-1.0,0,0
-1.0,-1.0,-1.0,0
0,-1.0,9500,20600
1,0.0061,-1.0,-1.0
25200,0,0,-1.0
4700,21400,0,0
-1.0,-1.0,20300,0
0,-1.0,6922,23600
0,0,-1.0,31667
18700,0,0,-1.0
-1.0,17200,1,0.0042
